id	upload_date	duration_s	speakers	has_audio	title
_1r1plyTZKs	20260423	3196	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 4.22.2026
1uGr5QeHbe0	20260422	1780	Clay Gentry	yes	The Sin of Reviling   04 19 26
5wj5X-BbpKA	20260420	3085	Clay Gentry	no	Sunday Bible Class - The Gospel of the King 4.19.2026
73cqoyOEEd0	20260420	4571		no	Larry Haverstock Israel Report 4.19.2026
rWlJJ-UZ3Ak	20260420	5169	Clay Gentry	no	Sunday Morning Worship - The Sin of Reviling - 041926
2CS6kMu1UCU	20260416	3319	Josh Tolbert	yes	Wednesday Bible Class - Isaiah - 4.15.2026
U13eaAYCACo	20260414	2101	Clay Gentry	yes	Learning Godly Self Talk   04 12 2026
RV9ZlNxM-CY	20260413	4936	Clay Gentry	no	Sunday Worship - Learning Godly Self-Talk - 4.12.2026
o69i7ySn1tg	20260413	3469	Clay Gentry	no	Sunday Bible Class - The Gospel of the King - 4.12.2026
PS4BDmpIGWw	20260409	3682		no	Wednesday Bible Class - Isaiah - 4.8.26
PXDBIZVAsa8	20260408	2583	Clay Gentry	yes	The Fatal IF  04 05 2026
31azt3eCEvU	20260406	3200	Clay Gentry	no	Sunday Bible Class - The Gospel of the King Lesson 1 - April 5 2026
Ga93tGX7blg	20260406	5559	Clay Gentry	no	Sunday Morning Worship - The Fatal IF: The peril of an Empty Faith - - April 5th 2026
swerQtQr-d4	20260402	3593	Clay Gentry	no	Wednesday - Bible Class - The Antioch Way - 4.1.2026
UFumQNMP2Xo	20260331	2065	Clay Gentry	yes	The Garment's Edge   3 29 2026
QDNJ4x_1yD4	20260330	3263	Charlie Norman	no	Sunday AM Worship - 1&2 Thessalonians - 3.29.2026
RiZ5fRKafvo	20260330	3770		no	Sunday PM - Singing - 3.29.2026
f2cg49ADQSg	20260330	5623	Clay Gentry	no	Sunday AM Worship - The Garment's Edge - 3.29.2026
wsFLSUHSGM8	20260326	3253	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 3.25.2026
PXCbY5j0l0I	20260323	2555	Clay Gentry	yes	Resurrection Hope  03 22 2026
_k3fVDpjcfE	20260323	3235	Charlie Norman	no	Sunday Bible Class - 1&2 Thessalonians - 3.22.2026
alqKnoyghhA	20260323	6595	Clay Gentry	no	Sunday Worship - Resurrection Hope - 3.22.2026
S9L9nMoTc7I	20260319	3722	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 3.18.2026
pL38Y-XS55U	20260318	2317		no	Following Jesus the Shepherd  3 15 2026
1nMAe-hRjUo	20260316	3346	Charlie Norman	no	Sunday AM Worship - 1&2 Thessalonians - 3.15.2026
ruybl4Q8vTo	20260316	4196	Clay Gentry	no	Sunday AM Worship - Following Jesus the Shepherd - 3.15.2026
vT5klpjsNws	20260315	73	Clay Gentry	no	Sunday AM Worship - Following Jesus the Shepherd - 3.15.2026
yJil0yPCp2Q	20260312	3656	Clay Gentry	no	Wednesday Bible Class - The Antioch - 3.11.2026
Jn6uL22aRoQ	20260310	3302	Clay Gentry	yes	The Inconvenient Lie of Later  03 08 2026
SODS4hgYnQw	20260309	6656	Clay Gentry	no	Sunday AM Worship - The Inconvenient Lie of Later - 3.8.2026
_vaXQUNjsyw	20260309	2924	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 3.8.2026
btEDHWtYsWU	20260305	3629	Clay Gentry	no	Wednesday PM Bible Class - The Antioch Way - 3.4.2026
733LTMzvpO8	20260302	3531	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 3.1.2026
ZLnlL-k6re0	20260302	2729	Clay Gentry	no	Looking Egyptian   03 01 2026
tPj0sRQMYx4	20260302	5849	Clay Gentry	no	Sunday AM Worship - Looking Egyptian - 3.1.2026
OIM3YC0b-z4	20260226	3659	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 2.25.2026
bhMXHPZTT9Y	20260225	2785	Clay Gentry	yes	The Origin of Clothing  02 22 2026
67tSblPkOsg	20260223	3272	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 2.22.2026
Tit5DkLaDE8	20260223	5787	Clay Gentry	no	Sunday AM Worship - The Origin of Clothing - 2.22.2026
nGowXsGitLw	20260223	4337		no	Sunday PM - Singing - 2.22.2026
meC3-90HquA	20260219	3369	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 2.18.2026
FQQntso7U4g	20260216	3145		no	Sunday Morning Bible Class - 1 & 2 Thessalonians - 21526
FxNdVDTyPHw	20260216	5061	Clay Gentry	no	Sunday Morning Worship - Love The More Excellent Way - 021526
wBXk0WEfQug	20260216	2201	Clay Gentry	yes	Love The More Excellent Way   02 15 2026
ubwR4h3eCkk	20260212	3495	Clay Gentry	no	Wednesday PM Bible Class - The Antioch Way - 2.11.2026
A6rdziaVAic	20260210	2360	Clay Gentry	yes	Anatomy of a Disciple  02 08 2026
DjQSxLVCqI4	20260209	5263	Clay Gentry	no	Sunday AM Worship - Anatomy of a Disciple - 2.8.2026
carzUbLeAF8	20260209	3249	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 2.8.2026
sM_UZFTfY84	20260205	3324		no	Wednesday PM Bible Class - Singing - 2.4.2026
Aki6cpb246E	20260202	3334	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 2.1.2026
eZ7-fDxWUvA	20260202	5616	Josh Tolbert	no	Sunday Worship - Justice Mercy Grace - 2.1.2026
6CqiJLayhOY	20260122	3553	Clay Gentry	no	Wednesday Bible Class- The Antioch Way - 1.21.2026
BKH84PIOGKA	20260119	5466	Clay Gentry	no	Sunday AM Worship - The Gospel of the King and His Kingdom - 1.18.2026
muLP2WkegZg	20260119	2858	Clay Gentry	yes	The Gospel of the King and His Kingdom   01 18 2026
uxLyzi2c66g	20260119	3313		no	Sunday AM Bible Class - 1 & 2 Thessalonians - 1.18.2026
baltHBPweE4	20260115	3546	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 1.14.2026
TZv6t1CdO1Q	20260112	3365	Charlie Norman	no	Sunday AM Bible Class - 1&2 Thessalonians - 1.11.2026
p3xDXrrChYA	20260112	5314	Clay Gentry	no	Sunday AM Worship - How Long O Lord - 1.11.2026
r0-ikn-glnc	20260112	1921	Clay Gentry	no	How Long, O Lord  01 11 2026
_IkCIu2kRec	20260109	3578	Clay Gentry	no	Wednesday Bible Class - The Antioch Way - 1.7.2026
G-fXfY3rfpQ	20260105	5426	Clay Gentry	no	Sunday Worship - The Solid Rock Of Hope - Jan 4th 2026
qu71QjvcaVk	20260105	2941		no	Sunday Bible Class - I & II Thessalonians - Jan 4th 2026
vSKM2vKN0fM	20260105	2173	Clay Gentry	yes	The Solid Rock Of Hope   01 04 2026
TmhgTluWxsI	20260101	3087		no	Wednesday Fall Focus - Wisdom in Financial Commitments - 12.31.2025
25-erH8cNck	20251229	4491		no	Sunday PM Worship - Singing  Dec  28th 2026
SVGU7GjvK5c	20251229	3355	Mike Young	no	Sunday AM Bible Class - Gossip - 12.28.2025
T-xZV5LQBHE	20251229	4812	Blaine Hyle	no	Sunday AM Worship - Elder's Vision 2026
Rnj-lGkYDrI	20251225	3326	Andrew Dvorak	no	Wednesday Fall Focus - Avoiding Envy of Sinners - 12.24.2025
FQ1jB49Z8SE	20251222	4282	Clay Gentry	no	Sunday AM Worship - We Two Kings - Conflict of Crowns
HRPt0VYnVmI	20251222	3937	Tim Garrison	no	Sunday PM Worship - Jesus Savior Of Mankind - 122125
deNxeyY5deE	20251222	2934	Mike Young	no	Sunday AM Bible Class - Gossip - 12.21.2025
rjUWIGq9GKo	20251222	2373	Clay Gentry	yes	We Two Kings  12 21 2025
PNuyMXWsRdo	20251221	895	Clay Gentry	no	Sunday AM Worship - We Two Kings - Conflict of Crowns
Wtr6NWI0LOE	20251218	3409	Ben Prasser	no	Wednesday Fall Focus - The Necessity of Discipline for Children
JqN-qXP-0sM	20251215	1871	Clay Gentry	no	The Minor Prophets   12 14 2025
LWRxlahXOrE	20251215	1589	Clay Gentry	yes	Jesus Knocking at the Door   12 14 2025
TE4mSNI-rIY	20251215	3309	Mike Young	no	Sunday AM Bible Class - Gossip - 12.14.2025
VVNuFdq_p-g	20251215	3569	Clay Gentry	no	Sunday PM Worship - The Minor Prophets - 12.14.2025
WpAEv7AbYWQ	20251215	4503	Clay Gentry	no	Sunday AM Worship - The Knock at the Door - 12.14.2025
uKfGxpiqYUg	20251211	3751	J.D. Griffin	no	Wednesday - Fall Focus - Rescue the Perishing - 12.10.2025
6GSHxD4gpwk	20251208	1341	Clay Gentry	yes	In the face of Persecution  12 07 2025
JXW1u_buGI8	20251208	3803	Clay Gentry	no	Sunday PM Worship - In the face of persecution - 1207205
PTefN0HAOMQ	20251208	1945	Clay Gentry	yes	Stand Firm 12 07 2025
WqwsRaqoygo	20251208	3188	Mike Young	no	Sunday AM Bible Class - Gossip - 12/07/25
m_ReOfmnY18	20251208	5198	Clay Gentry	no	Sunday AM  Worship - Stand Firm - 12/07/25
VzVWvSt90zI	20251204	2906		no	Wednesday - Fall Focus - Enduring in Adversity - 12.3.2025
9d1QOOOyGBU	20251201	3187	Mike Young	no	Sunday AM Bible Class - Gossip - 11.30.2025
iEsEKLzZgOI	20251201	4112	Clay Gentry	no	Sunday AM Worship - Grace Peace Effort - 11.30.2025
xA3W9Cq-PyE	20251201	1280		no	Sunday PM Worship - Singing - 11.30.2025
wPpedYnfrgg	20251127	2975		no	Wednesday Bible Class - Strength in Wisdom and Counsel - 11.26.2025
8718JGbs2EY	20251124	1792	Charlie Norman	no	Sunday PM Worship - Mozambique Report - 11.23.2025
Qm1EABF1Z-4	20251124	2047	Clay Gentry	no	The Biblical Art of Feasting   11 23 2025
cRcCow8PSMk	20251124	4490	Clay Gentry	no	Sunday AM Worship - The Biblical Art of Feasting -  11.23.2025
jZnnKgU6sfA	20251124	1985	Mike Young	no	Sunday AM Bible Class -  A Lesson on Gossip - 11.23.2025
lWKLpmOqpUo	20251120	2630	Doug Arney	no	Wednesday Fall Focus - The Folly of Debating a Fool - 11.19.2025
XRqdqB9v9vY	20251117	2197	Clay Gentry	yes	Weighed in the Balances  11 16 2025
bhage4nLyGo	20251117	3375	Mike Young	no	Sunday AM Bible Class - Gossip - 11.16.2025
cVIV2DSs5ig	20251117	4381	Clay Gentry	no	Sunday AM Worship - Weighed in the Balances  - 11.16.2025
hj3Lar7tQTI	20251117	3476	Clay Gentry	no	Sunday PM Worship - Sodom Samaria and Judah - 11.16.2025
slf_i18DRgE	20251117	1658	Clay Gentry	yes	Sodom Samaria and Judah Together  11 16 2025
IkEPCd0Ri_Q	20251113	56		no	Feel Hurt, Anger, Outrage?
nMY9nHc91tw	20251113	3026		no	Fall Focus 2025 - Choosing your companions wisely
0Q-JTbBolVI	20251110	3578	Clay Gentry	no	Sunday PM Worship - Hope in Lament - 11.9.2025
9m9Te1r-1xM	20251110	1871	Clay Gentry	no	Older Son's Failure to Be His Brother's Keeper  11 09 2025
DVYexhAnJG4	20251110	3207	Mike Young	no	Sunday AM Bible Class - Gossip - 11.9.2025
IBxG_7j-EFM	20251110	5587	Clay Gentry	no	Sunday AM Worship - Older Son's Failure to Be His Brother's Keeper - 11.9.2025
tnWaqXZVkQA	20251110	1701	Clay Gentry	yes	Hope in Lament  11 09 2025
rJ95iYTUt3o	20251106	2737	Michael Fedders	no	Fall Focus Series - Don't Fret Over Evildoers; Their End is Ruin - 110525
uHlTwGkk93g	20251104	75		no	Online Hate vs Real Life
ET7_cZvKPKA	20251103	2682	Clay Gentry	yes	The Salvation of Noah's Family  11 02 2025
LVgA1o9RARA	20251103	5702	Clay Gentry	no	Sunday AM Worship - The Salvation of Noah's Family
fKHIeZTcII8	20251103	3859	Clay Gentry	no	Sunday PM Worship - After the Crisis - 11.2.2025
tvqQocmtBw0	20251103	3655	Mike Young	no	Sunday AM Bible Class - 11.2.2025
zyS6BT19I88	20251103	2030	Clay Gentry	yes	After the Crisis  11 02 2025
UzRgDpxkLRw	20251102	73		no	Evil Isn't Just Murder
92WwLACM5R4	20251030	70		no	Overcome Evil with Good
lk2NjsFO4CI	20251030	2805		no	Wednesday Bible Class - Fall Focus - Fear God and Honor Authority - 10.29.2025
A2NIBaQsnR4	20251028	64		no	World in Chaos?!
4ILP7RPQx2U	20251027	4084		no	Sunday PM Singing - 10262025
UtyRld7lIvU	20251027	2687	Mike Young	no	Sunday Bible Class - Gossip - 10262025
lzuiuqG0vEE	20251026	75		no	Lazarus and the Rich Man!
5U5Y5dBwZ_0	20251023	85		no	Is Your Faith Real?
b0kYj-nyAaU	20251023	2019	Clay Gentry	no	Fasting in the NT  10 19 2025 (Lesson 3)
c4QPmZjhDH8	20251023	3682	Clay Gentry	no	Wednesday Fall Focus - New Testament Fast: Power, Prayer, & Preaching 102225
l1-kJxw8UEg	20251023	2789	Clay Gentry	no	Fasting Done Right and Wrong 10 22 2025 (Lesson 4)
qYARA43bUQQ	20251023	2111	Clay Gentry	yes	Fasting in the OT 10 19 2025 (Lesson 2)
zHTkSIwHSCE	20251023	2875	Clay Gentry	yes	Fasting More than No Food 10 19 2025 (Lesson 1)
KL-o_hfM3Jk	20251021	48		no	Your Wake Up Call!
65_bHxaBxfQ	20251020	3023		no	Sunday AM Bible Class - 10.19.2025
YMpRMGlxyt4	20251020	5424	Clay Gentry	no	Sunday AM Worship - Power Prayer and Preaching - 10.19.2025
vVu1tYDBZqY	20251020	3832	Clay Gentry	no	Sunday Evening Worship - New Testament Fast: Power, Prayer, & Preaching 101926
TdMwNs_mqJQ	20251019	66		no	Repentance Is Not Enough!
0TU7R3vJifo	20251016	3335	Josh Tolbert	yes	Wednesday - Fall Focus - Avoiding Vengeance - 10.15.2025
liy6mfkkTW8	20251016	66		no	True Repentance!
lSzw--Ekmnk	20251014	2287	Clay Gentry	no	Isaiah 53 and Ethiopian Eunuch  10  12  2025
toW7BZMisFc	20251014	70		no	Jonah's Wild Ride
yrWFmceybN0	20251014	1430	Clay Gentry	yes	Move the Stone, See the Glory  10  12  2025
8XRvYYzW-QE	20251013	3297	Mike Young	no	Sunday AM Bible Class - Gossip - 10.12.2025
YNfQ8vS1Hyg	20251013	4673	Clay Gentry	no	Sunday AM Worship - Remove The Stone See the Glory - 10.12.2025
aiqhPEHz0uw	20251013	4115	Clay Gentry	no	Sunday PM Worship - Isaiah 53 - 10.12.2025
iDC82RPoxi8	20251012	31		no	Be Like a Cedar!
L0XrBprk2W0	20251009	3203	Drew Norman	no	Fall Focus - Protecting the Vulnerable - 10.8.25
P7khYsDWl28	20251009	88		no	Kindness to the Least!
LqhRXDmWTgM	20251007	1749		yes	Taste and See  10 05 2025
fN5hpSFdEqk	20251007	81		no	God Sees Everything!
3BwOr84FrOQ	20251006	3458	Mike Young	no	Sunday Bible Class - The Sin of Gossip - 10.05.2025
6dXZMlUfEs8	20251006	3644		no	Sunday Evening Worship - Taste and See - 10.05.2025
529uaB8hX0M	20251005	87		no	Crying Over Sins!
raeRSB34KIg	20251002	3249	Ben Prasser	no	Wednesday Bible Class - Sermon on Mars Hill - 10.01.2025
z7p84LFO7zY	20251002	81		no	Weep Together, Rejoice Together!
_9yuTRxcxi0	20250930	2000	Clay Gentry	yes	I Forgive You   9 28 2025
o6jzQGWqqbE	20250930	70		no	Why Its Okay Isn't the Answer!
5gaTqVd9r3k	20250929	5040	Clay Gentry	no	Sunday AM Worship - I Forgive You - 9.28.2025
qzoCYZBjpNw	20250929	3349	Blaine Hyle	no	Sunday AM Bible Class - Luke - 9.28.2025
vZj2DC8Bsko	20250929	3728		no	Sunday PM Worship - Singing - 9.28.2025
2wWm_rhgSHg	20250928	80		no	Twisting Truth?
5PcY-HDerF8	20250925	3400	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 9.24.2025
GHOA02ptibw	20250925	27		no	Ashamed of the Cross?
BhS2dZXk320	20250923	1401	Clay Gentry	yes	A Time for Everything  9 21 2025
Qp9dbmTY0P4	20250923	66		no	Boast in God's Grace!
NRYRtwmc534	20250922	2839	Clay Gentry	no	Sunday AM Worship - Can You Really Lose Your Salvation? - 9.21.2025
faYKVvkoMZY	20250922	3195	Blaine Hyle	no	Sunday AM Bible Class - Luke - 9.21.2025
g0Qb0ueG0ps	20250922	2717	Clay Gentry	no	Sunday PM Worship - A Time for Everything - 9.21.2025
ZNvYgLXpdOg	20250920	69		no	Gratitude: The Unexpected Secret Weapon Against Stress!
BrPTuD0pRw0	20250918	59		no	Reverent Worship!
jU6HCaQoD24	20250918	3230	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 9.17.2025
7ux2MCzwk-w	20250916	1796	Clay Gentry	no	Repeated Proverbs  9 14 2025
iRj_97knwC4	20250916	42		no	Worship Beyond Walls!
r4xBfUiJdB8	20250916	2758	Clay Gentry	yes	Overcome Evil with Good  9 14 2025
1wcjpuhmI5I	20250915	3874	Clay Gentry	no	Sunday PM - Repeated Proverbs - 9.14.2025
N06oy1QdkQk	20250915	5640	Clay Gentry	no	Sunday AM Worship - Overcome Evil with Good - 9.14.2025
SFC9U3CEVbI	20250915	3373	Blaine Hyle	no	Sunday AM Bible Class - Luke - 9.14.2025
5xddbtC2y8A	20250914	40		no	There is No Middle Ground, It's a Binary Choice!
ZUBIRY5yIX4	20250913	3255	Ben Prasser	no	Wednesday - Bible Class - Paul's Sermon on Mars Hill
W93Byrg5oiw	20250911	87		no	Will You Stand Firm or Be Swept Away?
VyF2smVRlhg	20250910	2194	Clay Gentry	yes	Is Your Faith in a Box?  9 7 2025
l5qn3Bgvizo	20250910	1686	Clay Gentry	yes	God's Word A-Z  9 7 2025
OcN_-RQHm1U	20250909	58		no	Am I on the Road to Ruin?
J102pC-7SpM	20250908	3263	Clay Gentry	no	Sunday PM - God's Word A-Z - 9.7.2025
g_3a9szEz0A	20250908	3228	Blaine Hyle	no	Sunday AM Bible Class - Luke - 9.7.2025
mEWggZMf3yc	20250908	5100	Clay Gentry	no	Sunday AM Worship - Is Your Faith in a Box - 9.7.2025
M6Vp-YaGtO4	20250907	66		no	Your Inner Prodigal!
hlVM27pL6G4	20250904	62		no	Stop Riding Grandma's Faith!
oGPJTocT5HY	20250904	3377	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 9.3.2025
hIUQjwWwLzQ	20250902	65		no	Don't Pray Like That!
mVODg1E32B8	20250902	2298	Clay Gentry	yes	Abba Father  8 31 2025
K5GDDgOiag8	20250901	5481	Clay Gentry	no	Sunday AM Worship - Abba Father - 8.31.2025
bG3X2HuvbH8	20250901	3366	Blaine Hyle	no	Sunday AM Bible Class - Luke - 8.31.2025
wvrGx5yeZSs	20250901	4329		no	Sunday PM - Singing - 8.31.2025
N_w7xYdFIeU	20250831	49		no	Don't Miss Out Like Jehoash!
FVlF09hVPi8	20250828	3442	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 8.27.2025
Yxzq9tg2OeQ	20250828	28		no	Your Mission to Read, Understand and Preach!
0uhZAsJOKPI	20250827	2485	Clay Gentry	yes	The Father's Embrace   8 24 2025
98YrfP5uqHU	20250827	1978	Clay Gentry	yes	David and Doeg   8 24 2025
khNR5YmZYDY	20250826	65		no	A Reward for  Loyalty and Faithfulness!
C81IBjKC-HY	20250825	5886	Clay Gentry	no	Sunday Morning Worship - The Father's Embrace - 082425
uCpzRfbD2CE	20250825	4536	Clay Gentry	no	Sunday Evening Worship - David and Doeg - 082425
vkIjMY_iSbk	20250825	3315	Blaine Hyle	no	Sunday Morning Bible Class- Intro to Revelation - 8/24/25
0QWFqlMBSoU	20250824	26		no	Don't Let Fear Ruin Your Destiny!
FA0jZNNoE1Y	20250821	1576	Clay Gentry	yes	Accepting God's Forgiveness  8 17 2025
Yr6kODR175o	20250821	3368	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 8.20.2025
stcxrkqxXo4	20250821	89		no	Would I Suffer Shame to Follow Jesus?
plGtgOmDUIA	20250819	66		no	Jeroboam's Shocking Sin!
wxuD_TGVPeE	20250819	2775	Clay Gentry	yes	The Great Chasm   8 17 2025
FAlpEyOMBZU	20250818	3656	Clay Gentry	no	Sunday PM Worship - 8.17.2025
rCPT-w6eJEQ	20250818	5322	Clay Gentry	no	Sunday AM Worship - The Great Chasm - 8.17.2025
zNeO4Bmhwt8	20250818	3477	Blaine Hyle	no	Sunday AM Bible Class - Luke - 8.17.2025
wc_MiorDVys	20250817	47		no	Why Do I Really Need the Armor of God?
50OaKIGRBn4	20250814	2074	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 8.13.2025
kK7fl3E15Iw	20250814	1189	Ben Prasser	no	Wednesday Bible Class - Paul's Sermon on Mars Hill - 8.13.2025
xO4gmH3GxuI	20250814	28		no	Do I Fight Back or Fall Back?
UWjrspMu8fg	20250812	58		no	Feel Like You're About to Break?
-6BmzrlycUY	20250811	2406	Clay Gentry	no	PigSty Epiphany   8 10 2025
XMmPoNb6bNg	20250811	1606	Clay Gentry	yes	Like a Tree  8 10 2025
l7fT4DaGIt4	20250811	3306	Blaine Hyle	no	Sunday AM Bible Class - Luke - 8.10.2025
